,Country,Data as of,Case definition,Number of cases Cumulative,Number of cases in past 21 days,Number of deaths Cumulative
514,Guinea,2015-06-07, Probable,419,Not reported.,419
515,Guinea,2015-06-07, Confirmed,3239,38,2018
516,Guinea,2015-06-07, Total,3670,,2437
517,Guinea,2015-06-07, Suspected,12,,Not available
518,Guinea,2015-06-07, Probable,419,,419
519,Guinea,2015-06-07, Confirmed,3239,,2018
520,Guinea,2015-06-09, Total,3674,,2440
521,Guinea,2015-06-09, Confirmed,3243,,2021
522,Guinea,2015-06-09, Probable,419,,419
523,Guinea,2015-06-09, Suspected,12,,Not available
524,Guinea,2015-06-10, Total,3677,,2440
525,Guinea,2015-06-10, Probable,419,,419
526,Guinea,2015-06-10, Suspected,15,,Not available
527,Guinea,2015-06-10, Confirmed,3243,,2021
528,Guinea,2015-06-13, Total,3677,,2443
529,Guinea,2015-06-13, Suspected,9,,Not available
530,Guinea,2015-06-13, Confirmed,3249,,2024
531,Guinea,2015-06-13, Probable,419,,419
532,Guinea,2015-06-14, Probable,419,,419
533,Guinea,2015-06-14, Total,3674,35,2444
